# B1 (5직업)
B1 | 수소연료전지-개발자 | id=1765283789707227
B1 | 수소연료전지시스템운영관리자 | id=176528381163610
B1 | 수소충전소안전관리자 | id=1765283945964308
B1 | 수소충전원 | id=1765285612040940
B1 | 수술대제작원 | id=1765285320404534
# B2 (5직업)
B2 | 수신금리기획원 | id=1765284372464868
B2 | 수신사무관리자 | id=1765284372771868
B2 | 수신사무원 | id=1765284373066487
B2 | 수신상품개발원 | id=1765284084720104
B2 | 수신제도기획원 | id=1765284373379355
# B3 (5직업)
B3 | 수신총괄사무원 | id=176528437367064
B3 | 수압대패기조작원 | id=1765285486087756
B3 | 수압시험원 | id=1765284641708914
B3 | 수용가가스설비설치원 | id=1765284811654221
B3 | 수용지보상원 | id=1765284233932332
# B4 (5직업)
B4 | 수의과학연구원 | id=1765283614226237
B4 | 수입업무금융사무원 | id=1765284373931888
B4 | 수입업자 | id=1765284116907172
B4 | 수입창고관리원 | id=1765284269759121
B4 | 수자원개발기술자 | id=1765283757977364
# B5 (5직업)
B5 | 수자원시설지반구조연구원 | id=1765283758236833
B5 | 수자원시스템연구원 | id=1765283709054853
B5 | 수자원환경연구원 | id=1765283953399740
B5 | 수정진동자개발자 | id=1765283890030397
B5 | 수정진동자조립원 | id=1765285389933524
