# B1 (5직업)
B1 | 수족관관리자 | id=1765283566602739
B1 | 수족관다이버 | id=1765284190309242
B1 | 수중촬영기사 | id=1765284158093427
B1 | 수지가공조액원 | id=1765284935439688
B1 | 수지배합원 | id=176528502428370
# B2 (5직업)
B2 | 수지제조원 | id=1765285024674328
B2 | 수지함침원 | id=176528510396221
B2 | 수질분석요원 | id=1765283963327334
B2 | 수채액배합원 | id=1765285025112965
B2 | 수출업무금융사무원 | id=1765284374222483
# B3 (5직업)
B3 | 수출입안전관리우수업체공인심사원 | id=1765284068888642
B3 | 수출입화물감정원 | id=1765284310821460
B3 | 수출입화물검량원 | id=1765284311232658
B3 | 수출입화물검수관리원 | id=1765284311593225
B3 | 수출입화물검수사 | id=176528431198857
# B4 (5직업)
B4 | 수출입화물검수운영사무원 | id=1765284312395865
B4 | 수출입화물검수작업사무원 | id=17652843127731
B4 | 수출창고관리원 | id=1765284270139360
B4 | 수치제어드릴링기조작원 | id=1765285272089897
B4 | 수치제어밀링기조작원 | id=1765285272442696
# B5 (5직업)
B5 | 수치제어보링기조작원 | id=1765285272717526
B5 | 수치제어선반조작원 | id=176528527298412
B5 | 수타성형원 | id=1765284790988963
B5 | 수편물원 | id=1765284603727396
B5 | 수필가 | id=1765284125811809
