# B1 (5직업)
B1 | 수필속기사 | id=1765284437334166
B1 | 수하물운반원 | id=1765285580317838
B1 | 숙박시설운영원 | id=1765284477963546
B1 | 숙박업소전화교환원 | id=1765284424402519
B1 | 숙성탱크조작원 | id=1765284849963516
# B2 (5직업)
B2 | 숲길등산지도사 | id=1765284475200356
B2 | 슈가크래프터 | id=1765284791284620
B2 | 슈트조작원 | id=1765284774942933
B2 | 슈퍼마켓관리자 | id=1765284502680118
B2 | 슈퍼마켓판매원 | id=1765284512947973
# B3 (5직업)
B3 | 스낵성형원 | id=1765284836355444
B3 | 스노우트랙터운전원 | id=1765285447177618
B3 | 스마트공장설비설계사 | id=1765283916924845
B3 | 스마트공장시스템설치원 | id=1765284681368867
B3 | 스마트그리드망운영원 | id=1765283847523509
# B4 (5직업)
B4 | 스마트그리드제품개발원 | id=1765283847872637
B4 | 스마트그리드표준화연구원 | id=176528384827039
B4 | 스마트도시계획가 | id=1765283769298587
B4 | 스마트물류통합관리자 | id=176528372098974
B4 | 스마트물류플랫폼설계자 | id=1765283693011757
# B5 (5직업)
B5 | 스마트섬유연구원 | id=1765283976771197
B5 | 스마트의류개발원 | id=1765283977016507
B5 | 스마트팜-컨설턴트 | id=1765284069145700
B5 | 스마트헬스케어-서비스-기획자 | id=1765284097232353
B5 | 스케이트얼음판관리원 | id=176528448113844
