# B1 (5직업)
B1 | 스크럼마스터 | id=1765284063232930
B1 | 스크레이퍼조종사 | id=1765285447577406
B1 | 스크린날염반장 | id=1765284604046688
B1 | 스크린인쇄원 | id=176528554240219
B1 | 스킨아티스트 | id=1765284462635783
# B2 (5직업)
B2 | 스타킹편직원 | id=1765284954743653
B2 | 스탬퍼제작원 | id=1765285390480240
B2 | 스테디캠기사 | id=1765284158361701
B2 | 스테이플가공기운전원 | id=1765284912300785
B2 | 스테이플절단원 | id=1765284912616362
# B3 (5직업)
B3 | 스테인드글라스제작자 | id=1765284769437734
B3 | 스톱모션-애니메이션-세트-디자이너 | id=1765284177692895
B3 | 스톱모션-애니메이션-캐릭터-디자이너 | id=1765284178560668
B3 | 스톱모션애니메이션애니메이터 | id=1765284177995158
B3 | 스톱모션애니메이션조명원 | id=1765284178258479
# B4 (5직업)
B4 | 스톱모션애니메이션캐릭터제작원 | id=1765284178833503
B4 | 스트링거조작원 | id=176528539104152
B4 | 스틸사진사 | id=1765284174054717
B4 | 스파-매니저 | id=1765283592125199
B4 | 스파이럴강관조관원 | id=1765285172097366
# B5 (5직업)
B5 | 스펀지제조원 | id=1765285104360473
B5 | 스포츠사회학연구원 | id=1765283650084190
B5 | 스포츠용품수리원 | id=1765284819211637
B5 | 스포츠정책연구원 | id=1765283650354359
B5 | 스포츠클라이밍강사 | id=1765284223846550
