# B1 (5직업)
B1 | 스포츠프로그램프로듀서 | id=17652841473802
B1 | 스폿용접원 | id=1765284644936745
B1 | 스풀회수기조작원 | id=1765284912884278
B1 | 스프링제책기조작원 | id=1765285542872395
B1 | 슬라브정정원 | id=1765285131433651
# B2 (5직업)
B2 | 슬라이드제작원 | id=1765285555946910
B2 | 슬러셔조작원 | id=1765285448129890
B2 | 슬리버운반원 | id=1765285593823711
B2 | 슬리브제조원 | id=1765285212926468
B2 | 슬리터조작원 | id=1765285273297567
# B3 (5직업)
B3 | 승강기검사원 | id=1765283946219681
B3 | 승강기설치소장 | id=1765284694996688
B3 | 승마교관 | id=1765284224140139
B3 | 승무계획교번원 | id=1765284313086974
B3 | 승용완구조립원 | id=1765285123990724
# B4 (5직업)
B4 | 승용조랑말관리원 | id=1765284543185618
B4 | 시계도금원 | id=1765285200970124
B4 | 시계문자판무늬가공원 | id=1765285391540854
B4 | 시계부품도장원 | id=1765285392094416
B4 | 시계수리원 | id=1765284709360607
# B5 (5직업)
B5 | 시계제조기술자 | id=1765283917222387
B5 | 시계제조현장감독자 | id=1765285392616562
B5 | 시계조립원 | id=1765285393287940
B5 | 시계조립현장감독자 | id=1765285393824635
B5 | 시계판매원 | id=1765284513381171
