# B1 (5직업)
B1 | 시계품질검사원 | id=1765283848657885
B1 | 시내버스입금원 | id=1765284349225922
B1 | 시동모터계철조립원 | id=1765285297692156
B1 | 시동모터조립원 | id=1765285298188616
B1 | 시럽제조원 | id=1765284870099379
# B2 (5직업)
B2 | 시렉스기조작원 | id=1765285336713622
B2 | 시멘트냉각기조작원 | id=1765285237260352
B2 | 시멘트원료투입관리원 | id=1765285237674619
B2 | 시멘트원료투입원 | id=1765285238099595
B2 | 시멘트품질분석연구원 | id=1765283824442239
# B3 (5직업)
B3 | 시멘트품질시험원 | id=1765283834836134
B3 | 시멘트플랜트운전원 | id=1765285238458975
B3 | 시멘트플랜트현장조작원 | id=1765285238923352
B3 | 시멘트휠라기조작원 | id=1765285213248606
B3 | 시사다큐프로그램프로듀서 | id=1765284147664385
# B4 (5직업)
B4 | 시설특수경비원 | id=1765283483166227
B4 | 시설작물재배관리자 | id=1765283585134410
B4 | 시설작물재배원 | id=1765284533520291
B4 | 시설재배연구원 | id=1765283614640704
B4 | 시스템-소프트웨어-엔지니어 | id=17652837018133
# B5 (5직업)
B5 | 시스템반도체소자공정연구원 | id=1765283890329167
B5 | 시스템반도체소자연구원 | id=17652838907095
B5 | 시스템서포트설치원 | id=1765284760422168
B5 | 시약원 | id=1765285025447753
B5 | 시유기조작원 | id=1765285226207827
