# B1 (5직업)
B1 | 시장위험관리사무원 | id=1765284374528141
B1 | 시장조사분석가 | id=1765284111032297
B1 | 시장조사현장관리자 | id=1765284418099483
B1 | 시청률조사원 | id=1765284418361363
B1 | 시추기술자 | id=1765283960729891
# B2 (5직업)
B2 | 시추보조원 | id=176528544856881
B2 | 시추원 | id=176528544897295
B2 | 시추작업반장 | id=1765285449503607
B2 | 시트방수공 | id=1765284765464107
B2 | 시티비전유지보수원 | id=1765284709662803
# B3 (5직업)
B3 | 시험비행조종사 | id=1765283966605302
B3 | 식물공장생산관리자 | id=1765283662464658
B3 | 식물공장설계자 | id=1765283662872334
B3 | 식물공장재배원 | id=1765284652916889
B3 | 식물기반대체식품연구원 | id=1765283972319754
# B4 (5직업)
B4 | 식물번식가 | id=1765284536219257
B4 | 식물병리연구원 | id=1765283614991657
B4 | 식물세포유전연구원 | id=1765283615372488
B4 | 식물원관리자 | id=1765283566900906
B4 | 식물환경연구원 | id=1765283615707814
# B5 (5직업)
B5 | 식생활지도사 | id=1765284053169325
B5 | 식용얼음제조원 | id=1765285282580951
B5 | 식용유원료전처리원 | id=1765284888598326
B5 | 식용유정제반장 | id=1765284888877701
B5 | 식용유추출반장 | id=1765284889164207
