# B1 (5직업)
B1 | 식용유추출원 | id=1765284889424834
B1 | 식용유충전원 | id=1765284889710999
B1 | 식용유탈검원 | id=176528489009039
B1 | 식용유탈산원 | id=176528489038328
B1 | 식용유탈색원 | id=1765284890659272
# B2 (5직업)
B2 | 식용유탈취원 | id=1765284890930769
B2 | 식육즉석가공원 | id=1765284850280291
B2 | 식초제조원 | id=1765284891269329
B2 | 식품가공연구원 | id=1765283972564910
B2 | 식품미생물공학연구원 | id=1765283972802939
# B3 (5직업)
B3 | 식품미생물응용연구원 | id=1765283973058805
B3 | 식품분석연구원 | id=1765283973339928
B3 | 식품여과기조작원 | id=1765285025867410
B3 | 식품연구원일반 | id=1765283973580606
B3 | 식품영양연구원 | id=176528397382959
# B4 (5직업)
B4 | 식품영업원 | id=1765284495999329
B4 | 식품원료혼합기조작원 | id=1765284891513482
B4 | 식품위생감시원 | id=1765283950696376
B4 | 식품재료연구원 | id=1765283974100887
B4 | 식품정제기조작원 | id=1765284836627393
# B5 (5직업)
B5 | 식품조미원 | id=1765284891766410
B5 | 식품판매원 | id=1765284513938961
B5 | 식품품질검사원 | id=1765283979471461
B5 | 식품향미소재개발연구원 | id=1765283974358890
B5 | 식품훈제원 | id=1765284850559241
