# B1 (5직업)
B1 | 신문제작국장 | id=1765283567314709
B1 | 신발-디자이너 | id=1765284196122779
B1 | 신발생산관리자 | id=1765284290158536
B1 | 신발실험실분석원 | id=1765283988268253
B1 | 신발채산규격전문가 | id=1765283988513628
# B2 (5직업)
B2 | 신골가공원 | id=1765284972674298
B2 | 신문주필 | id=1765284130985885
B2 | 신발-프로젝트-매니저 | id=1765283989003521
B2 | 신발생산관리전산시스템개발자 | id=1765283702094645
B2 | 신발원가전문가 | id=1765284347090816
# B3 (5직업)
B3 | 신골마무리원 | id=1765284972954166
B3 | 신문판매국장 | id=1765283544344858
B3 | 신발가죽분할원 | id=1765284988544498
B3 | 신발성능평가사 | id=1765283987768134
B3 | 신발자재구매관리자 | id=1765284270559253
# B4 (5직업)
B4 | 신골압출기조작원 | id=1765284973335538
B4 | 신문판매지국관리원 | id=1765284246359574
B4 | 신발금형기술자 | id=1765283917504602
B4 | 신발수선원 | id=176528497408726
B4 | 신발재단사 | id=1765284590663796
# B5 (5직업)
B5 | 신경과전문의사 | id=1765283993753272
B5 | 신골제작현장관리자 | id=1765284973614639
B5 | 신발분류원 | id=1765285594309792
B5 | 신발시험연구원 | id=1765283988011437
B5 | 신발제화원 | id=1765284600124217
