# B1 (5직업)
B1 | 신발패턴사 | id=1765284587537292
B1 | 신용상담사 | id=1765284404750274
B1 | 신용카드신사업기획원 | id=1765284375784913
B1 | 신재생에너지안전기술연구원 | id=1765283961025921
B1 | 신탁자산관리운용원 | id=1765284080465599
# B2 (5직업)
B2 | 신발품질관리원 | id=1765284290442852
B2 | 신선검사원 | id=1765285172449961
B2 | 신용위험관리사무원 | id=1765284374791742
B2 | 신용평가관리자 | id=176528355979350
B2 | 신재생하이브리드시스템개발자 | id=1765283849036235
# B3 (5직업)
B3 | 신발화공전문가 | id=1765283790132231
B3 | 신선기조작원 | id=1765285172859138
B3 | 신용조사관리자 | id=1765283559431906
B3 | 신용평가기획원 | id=1765284376132973
B3 | 신탁기획원 | id=1765284376413472
# B4 (5직업)
B4 | 신발캐드사 | id=1765283984659350
B4 | 신선반장 | id=1765285173272102
B4 | 신용조사담당원 | id=1765284375106282
B4 | 신재생에너지사업관리자 | id=1765284246757969
B4 | 신탁대출사무원 | id=1765284376823908
# B5 (5직업)
B5 | 신발판매원 | id=17652845144663
B5 | 신용카드고객데이터분석원 | id=1765284375419753
B5 | 신재생에너지사업지원사무원 | id=1765284343332783
B5 | 신탁사무관리자 | id=1765283560067914
B5 | 신호수 | id=1765285580672652
