# B1 (5직업)
B1 | 실린더밸브수리원 | id=1765284681772170
B1 | 실버컴퓨터강사 | id=1765284041424556
B1 | 실험동물사육원 | id=1765284550772551
B1 | 쌀엿제조원 | id=1765284892077810
B1 | 아동보호전담요원 | id=1765284019369231
# B2 (5직업)
B2 | 실린더주조원 | id=1765285131883979
B2 | 실켜기원 | id=1765284913228274
B2 | 실험용항공기제작원 | id=1765283937699791
B2 | 쓰레기매립장관리원 | id=1765285607495719
B2 | 아동복지지도원 | id=1765284024981454
# B3 (5직업)
B3 | 실린더충전원 | id=1765285568824688
B3 | 심리검사개발원 | id=1765283643825426
B3 | 씨디프레스조작원 | id=1765285104917696
B3 | 씨티아이운영원 | id=176528373410422
B3 | 아동전문간호사 | id=1765284004170762
# B4 (5직업)
B4 | 실크리어러수리원 | id=1765284682220146
B4 | 심전도기사 | id=1765284008737738
B4 | 씨디프레스현장감독자 | id=1765285105346864
B4 | 아동지능검사원 | id=1765284013414929
B4 | 아로마제품판매원 | id=1765284514954585
# B5 (5직업)
B5 | 실기교사 | id=1765284036427187
B5 | 실크인쇄원 | id=1765285543507412
B5 | 심지부착원 | id=1765284988944595
B5 | 아동학대전담공무원 | id=1765284019674450
B5 | 아리안스기조작원 | id=1765284989416811
