# B1 (5직업)
B1 | 아스팔트믹싱플랜트조종사 | id=1765285449927412
B1 | 아연말제조원 | id=1765285146095899
B1 | 아연제련원 | id=1765285147723877
B1 | 아이덴티티-디자이너 | id=1765284204571501
B1 | 아이스크림제조중앙통제장치조작원 | id=1765284852005732
# B2 (5직업)
B2 | 아스팔트살포기조종원 | id=176528545044353
B2 | 아연용해반장 | id=1765285146390670
B2 | 아연젤제조원 | id=1765285026533253
B2 | 아이스크림냉동기조작원 | id=1765284850850253
B2 | 아이스크림충전원 | id=176528485228243
# B3 (5직업)
B3 | 아말감제련원 | id=176528514575721
B3 | 아스팔트제조원 | id=1765285005948191
B3 | 아연용해원 | id=1765285146670557
B3 | 아이스크림성형기조작원 | id=1765284851141508
B3 | 아이스크림포장원 | id=1765285569191952
# B4 (5직업)
B4 | 아보리스트 | id=1765284557617156
B4 | 아스콘플랜트운전원 | id=1765285239325233
B4 | 아스팔트제조현장감독자 | id=1765285006213357
B4 | 아연정액반장 | id=1765285146965536
B4 | 아이스크림원료배합기조작원 | id=1765284851431731
# B5 (5직업)
B5 | 아세틸렌가스제조원 | id=1765285026249444
B5 | 아스팔트루핑지제조원 | id=1765285510419881
B5 | 아스팔트피니셔조종사 | id=176528545102923
B5 | 아연정액원 | id=1765285147301547
B5 | 아이스크림제조반장 | id=1765284851701643
