# B1 (5직업)
B1 | 아크용접원 | id=1765284645267595
B1 | 아트워크-매니저 | id=1765284047681215
B1 | 안경제조반장 | id=1765285569579640
B1 | 안전관리사무원 | id=1765283946469354
B1 | 안테나설치원 | id=1765284727828895
# B2 (5직업)
B2 | 아트토이디렉터 | id=1765284192012792
B2 | 악단지휘자 | id=176528418671499
B2 | 안경테부품성형원 | id=1765285105745979
B2 | 안전등관리원 | id=1765284710020559
B2 | 안테나조립반장 | id=1765285394745126
# B3 (5직업)
B3 | 악기운반원 | id=1765285581036952
B3 | 안경테수리원 | id=1765284819486851
B3 | 안과전문의사 | id=1765283994004662
B3 | 안전망설치원 | id=176528476078087
B3 | 안테나조립원 | id=176528539530425
# B4 (5직업)
B4 | 아일릿원 | id=1765284595373935
B4 | 악기판매원 | id=1765284515429843
B4 | 안경테수지원 | id=1765285106123176
B4 | 안료포장원 | id=176528557019118
B4 | 안전위생관리기술자 | id=1765283946711965
# B5 (5직업)
B5 | 아쿠아리스트 | id=1765284190607405
B5 | 아트-컨설턴트 | id=1765284123381364
B5 | 악기품질시험원 | id=1765284620232786
B5 | 안경테조립원 | id=1765285569908799
B5 | 안정기조립원 | id=1765285394291284
