# B1 (5직업)
B1 | 암벽화수선원 | id=1765284600451178
B1 | 암석조각원 | id=1765284749163200
B1 | 압연기레드오프원코드준비원 | id=176528508463331
B1 | 애견보험판매원 | id=1765284499872211
B1 | 애니메이션-캐릭터-디자이너 | id=1765284181541232
# B2 (5직업)
B2 | 알아이폐기물관리원 | id=176528394695448
B2 | 암호알고리즘개발원 | id=1765283729051323
B2 | 압연기운전원 | id=1765285084997501
B2 | 애견옷-디자이너 | id=1765284196394936
B2 | 애니메이션라이팅원 | id=176528417917366
# B3 (5직업)
B3 | 알루미늄연속주조원 | id=1765285132205896
B3 | 알에프아이디시스템개발자 | id=1765283891360463
B3 | 압연롤정비원 | id=1765285174121309
B3 | 압인기조작원 | id=1765285570494931
B3 | 애견핸들러 | id=1765284467852496
# B4 (5직업)
B4 | 알루미늄코일중합기조작원 | id=1765285173682807
B4 | 알카라인전지조립원 | id=1765285337266976
B4 | 압연유관리원 | id=1765285174545581
B4 | 압착탈수기조작원 | id=1765285510878506
B4 | 애견혈통관리자 | id=1765284468203901
# B5 (5직업)
B5 | 암면성형원 | id=1765285259023486
B5 | 암석절단원 | id=1765284775305929
B5 | 압연재정정원 | id=1765285174972579
B5 | 압출작업원 | id=1765285175446837
B5 | 애니메이션-배경-디자이너 | id=1765284180999640
