# B1 (5직업)
B1 | 애니메이션라인프로듀서 | id=1765284179498964
B1 | 애니메이션스토리보드작가 | id=1765284181268781
B1 | 액상수화제제조원 | id=1765285026845432
B1 | 액체펌프공정검사원 | id=1765285316113632
B1 | 앰풀검사기조작원 | id=1765285057135352
# B2 (5직업)
B2 | 애니메이션레이아웃작가 | id=1765284179791837
B2 | 애니메이션시나리오작가 | id=1765284126051374
B2 | 액상정제기조작원 | id=1765284892477165
B2 | 앰풀세척기조작원 | id=1765285057592474
B2 | 야광제도포원 | id=1765285191507371
# B3 (5직업)
B3 | 애니메이션리깅원 | id=1765284180117273
B3 | 애니메이션프로듀서 | id=176528418181571
B3 | 애드마스터 | id=1765283738741720
B3 | 앰풀충전엄폐기조작원 | id=1765285570903552
B3 | 야구비디오판독관 | id=1765284221231428
# B4 (5직업)
B4 | 애니메이션맵핑원 | id=176528418039771
B4 | 애니메이션합성원 | id=1765284182079836
B4 | 애자일코치 | id=1765284063483325
B4 | 애플리케이션-엔지니어 | id=1765283709346100
B4 | 야드크레인사무원 | id=1765284270931854
# B5 (5직업)
B5 | 애니메이션모델러 | id=1765284180684739
B5 | 애니메트로닉스제작자 | id=176528416929633
B5 | 애자조립원 | id=1765285226637238
B5 | 액제의약품생산원 | id=1765285056711357
B5 | 야생동물생태복원사 | id=1765283616104208
