# B1 (5직업)
B1 | 약용작물연구원 | id=1765283616383579
B1 | 양념제분기조작원 | id=1765284827354835
B1 | 양돈장작업원 | id=1765284543849595
B1 | 양말검사원 | id=1765284607783645
B1 | 양묘관리원 | id=1765284557903807
# B2 (5직업)
B2 | 약품조액원 | id=176528493584651
B2 | 양념혼합원 | id=1765284892765703
B2 | 양말성형기조정원 | id=1765284955003985
B2 | 양묘작업원 | id=1765284536822315
B2 | 양반원 | id=1765284913541337
# B3 (5직업)
B3 | 야생동물재활사 | id=1765284551068698
B3 | 양갱제조원 | id=1765284836903143
B3 | 양말재봉사 | id=1765284595716695
B3 | 양묘재배자 | id=1765284537166312
B3 | 양봉원 | id=1765284551362286
# B4 (5직업)
B4 | 약국처방전산입력원 | id=1765284352648316
B4 | 약제살포원 | id=1765285617137597
B4 | 양계장작업원 | id=1765284543523780
B4 | 양말제조반장 | id=1765284955321597
B4 | 양생원 | id=1765285239688612
# B5 (5직업)
B5 | 약물감시전문가 | id=1765284000433418
B5 | 약제추출기조작원 | id=176528505795376
B5 | 양극산화처리원 | id=1765285201321285
B5 | 양말편직원 | id=1765284955621531
B5 | 양수장감시원 | id=1765285623572149
