# B1 (5직업)
B1 | 양식기술개발원 | id=1765283616641590
B1 | 어구어법기술개발원 | id=1765283663298585
B1 | 어류사육사 | id=1765284563089458
B1 | 어업자원연구원 | id=1765283617185334
B1 | 어육정형원 | id=1765284853499890
# B2 (5직업)
B2 | 양수장관리원 | id=1765285461167227
B2 | 양식업관리자 | id=1765283585415821
B2 | 어로장 | id=1765284564227986
B2 | 어류생태연구원 | id=1765283616907772
B2 | 어업자원조사연구원 | id=1765283617458532
# B3 (5직업)
B3 | 양식장관리원 | id=1765284562232183
B3 | 양잠작업원 | id=1765284551701259
B3 | 어묵제조반장 | id=1765284852575341
B3 | 어문학교수 | id=1765284032521893
B3 | 어업잠수부 | id=1765284564622325
# B4 (5직업)
B4 | 양식장작업원 | id=1765284562661801
B4 | 양육비이행면접교섭지원원 | id=1765284025383294
B4 | 양적화플래너 | id=1765284271356799
B4 | 어묵제조원 | id=1765284852893216
B4 | 어염건어물제조원 | id=1765284585930192
# B5 (5직업)
B5 | 양육비이행모니터링수행원 | id=1765284025710837
B5 | 양조간장발효숙성원 | id=1765284893027793
B5 | 어업단순노무자 | id=1765285617470422
B5 | 어육분리기조작원 | id=1765284853207265
B5 | 어음교환제도기획원 | id=1765284377227716
