# B1 (5직업)
B1 | 언어재활사 | id=1765284014877573
B1 | 에너지공정연구원 | id=1765283961427178
B1 | 에이징원 | id=1765285395757644
B1 | 에프알피선박건조재료제조현장감독자 | id=1765285106581919
B1 | 엘리베이터유지관리원 | id=1765284696125725
# B2 (5직업)
B2 | 얼음판매원 | id=1765284515999223
B2 | 에너지기기시험성능평가원 | id=1765283937959542
B2 | 에이치씨아이-컨설턴트 | id=1765283693373325
B2 | 에프알피선박수지적층원 | id=1765285106989374
B2 | 엘이디led조명품질관리원 | id=176528429071559
# B3 (5직업)
B3 | 에너지저장연구원 | id=1765283790491483
B3 | 에어백제조원 | id=1765285085373686
B3 | 에이치티엠엘html코딩원 | id=1765283715803876
B3 | 엔진검사원 | id=1765283938205147
B3 | 엘이디제조원 | id=1765285354962817
# B4 (5직업)
B4 | 어촌지도사 | id=1765283663674418
B4 | 에너지정책연구원 | id=1765283650955593
B4 | 에스컬레이터설치원 | id=1765284695311193
B4 | 에지밴딩기조작원 | id=1765285486552947
B4 | 엔진조립원 | id=1765285298576546
# B5 (5직업)
B5 | 언론정책연구원 | id=1765283650655609
B5 | 에너지진단사 | id=1765284069399826
B5 | 에스코esco사업관리사무원 | id=1765284247083900
B5 | 엔n스크린서비스개발자 | id=1765283716087869
B5 | 엘리베이터설치원 | id=1765284695723259
