# B1 (5직업)
B1 | 엘이디조명-컨설턴트 | id=1765283989250531
B1 | 엘이디조명제품방열설계기술자 | id=1765283849807472
B1 | 여과기조립원 | id=1765285316959874
B1 | 여신심사사무원 | id=1765284379056702
B1 | 여행-컨설턴트 | id=1765284102851255
# B2 (5직업)
B2 | 엘이디조명광학설계기술자 | id=1765283849405102
B2 | 여과압착기조작원 | id=176528517586597
B2 | 여신금리기획원 | id=1765284377877618
B2 | 여신제도기획원 | id=1765284379496138
B2 | 여행호텔관리자 | id=1765283411845348
# B3 (5직업)
B3 | 엘이디조명기구설계기술자 | id=1765283917761219
B3 | 엠보싱기조작원 | id=1765285107429927
B3 | 여객서비스조사원 | id=1765284313466696
B3 | 여과기시험원 | id=1765285316558818
B3 | 여신사무관리자 | id=1765283560341362
# B4 (5직업)
B4 | 엘이디조명기구품질검사원 | id=1765283895135878
B4 | 여객선개찰원 | id=1765284471088449
B4 | 여과기정화원 | id=1765285027133678
B4 | 여론조사분석가 | id=176528411127876
B4 | 여신사무원 | id=1765284378263800
# B5 (5직업)
B5 | 엘이디조명기술개발자 | id=1765283918046814
B5 | 여객전무 | id=1765284471594593
B5 | 여과기제조기술자 | id=176528391836591
B5 | 여수신총괄사무원 | id=1765284377590908
B5 | 여신사후관리사무원 | id=1765284378671620
