# B1 (5직업)
B1 | 여행사대리점영업원 | id=1765284420291584
B1 | 여행콜센터상담원 | id=1765284421549734
B1 | 연경원 | id=1765284955962885
B1 | 연고충전충진원 | id=1765285571308240
B1 | 연구원일반 | id=1765283635268390
# B2 (5직업)
B2 | 여행상품상담원 | id=1765284420578798
B2 | 연구간호사 | id=1765284004417480
B2 | 연구장비전문가 | id=1765283670408648
B2 | 연극놀이강사 | id=176528405341336
B2 | 연금재정추계분석원 | id=176528365127424
# B3 (5직업)
B3 | 여행영업기획관리원 | id=176528442088968
B3 | 역무원 | id=1765284313852698
B3 | 연구개발관리자일반 | id=1765283549927145
B3 | 연금제도연구원 | id=1765283651576458
B3 | 연기금정책평가원 | id=1765283651840321
# B4 (5직업)
B4 | 여행작가 | id=17652841262936
B4 | 역구내정리원 | id=1765285601277552
B4 | 역무자동화설비관리자 | id=1765283589096667
B4 | 연구관리사무원 | id=176528424737920
B4 | 연단기조작원 | id=1765284989858463
# B5 (5직업)
B5 | 여행제휴사영업원 | id=1765284421241305
B5 | 역학조사관 | id=176528361780720
B5 | 연고조제원 | id=176528505835232
B5 | 연구기획사무원 | id=1765284247770362
B5 | 연도반장 | id=1765284811972842
