# B1 (5직업)
B1 | 연료전지소재부품연구원 | id=1765283790859950
B1 | 연료전지주변기기조립원 | id=1765285396615398
B1 | 연마기조작원 | id=1765285273629989
B1 | 연마숫돌품질검사원 | id=1765285400121801
B1 | 연속주조보조원 | id=1765285132548689
# B2 (5직업)
B2 | 연도원 | id=1765284812428611
B2 | 연료전지스택연구원 | id=176528379131137
B2 | 연마반장 | id=1765285273940490
B2 | 연마제배합원 | id=1765285259300381
B2 | 연소기구조립반장 | id=1765285185759787
# B3 (5직업)
B3 | 연료전지스택컨디셔닝조작원 | id=176528539617563
B3 | 연마숫돌납부착원 | id=1765285239951751
B3 | 연마지접착제도포기조작원 | id=1765285240831839
B3 | 연사틀보기원 | id=1765285061819378
B3 | 연소기구조립원 | id=1765284642023451
# B4 (5직업)
B4 | 연료전지스택품질검사원 | id=176528389539328
B4 | 연마숫돌세공기조작원 | id=1765285240218509
B4 | 연마포지제조원 | id=1765285241286364
B4 | 연삭기조작원 | id=1765285274209380
B4 | 연소신발전연구원 | id=1765283850528498
# B5 (5직업)
B5 | 연료전지시스템연구원 | id=1765283850210355
B5 | 연마숫돌연마원 | id=1765285240534389
B5 | 연마포후가공원 | id=1765285241642317
B5 | 연설문작성가 | id=1765284126542231
B5 | 연속염색기운전원 | id=1765284936164230
