# B1 (5직업)
B1 | 연속주조압연원 | id=1765285132844739
B1 | 연애코치 | id=1765284464459190
B1 | 연예프로그램진행자 | id=1765284157373904
B1 | 연육배합기조작원 | id=1765284854106734
B1 | 연탄제조반장 | id=1765285242028404
# B2 (5직업)
B2 | 연속주조작업원 | id=1765285133203835
B2 | 연유제조원 | id=1765284853843318
B2 | 연조기보전원 | id=1765284682635557
B2 | 연탄제조원 | id=1765285242317540
B2 | 열배관관리기술자 | id=1765283918685792
# B3 (5직업)
B3 | 연속증류탑조작원 | id=1765284870599723
B3 | 연신기운전원 | id=1765284913888891
B3 | 연조반장 | id=1765284914582118
B3 | 열간압연원 | id=1765285176268531
B3 | 열배관정보운용원 | id=1765283938448858
# B4 (5직업)
B4 | 연쇄점모집영업원 | id=1765284496562991
B4 | 연신반장 | id=1765284914162850
B4 | 연육결착원 | id=1765284586154585
B4 | 연조틀보기원 | id=1765284914954958
B4 | 열압성형기운전원 | id=1765285487058380
# B5 (5직업)
B5 | 연승어선원 | id=176528456502191
B5 | 연예인총괄관리자 | id=1765283572333319
B5 | 연육기조작원 | id=1765285027572508
B5 | 연탄제조관리자 | id=1765283575537676
B5 | 열유체시스템연구원 | id=1765283918960444
