# B1 (5직업)
B1 | 열차검수승무원 | id=1765284660097915
B1 | 열차승무원 | id=1765284472049214
B1 | 열차운전계획원 | id=1765284315296325
B1 | 열차화물사무원 | id=1765284316837930
B1 | 염료개발연구원 | id=1765283791721852
# B2 (5직업)
B2 | 열차기관사일반 | id=1765285415019753
B2 | 열차승무지도원 | id=1765284314684761
B2 | 열차운행계획원 | id=1765284315736813
B2 | 열처리검사원 | id=1765285176742490
B2 | 염료건조원 | id=1765285027887604
# B3 (5직업)
B3 | 열전기시설관리원 | id=1765283850934238
B3 | 열차기관조사 | id=176528541546474
B3 | 열차신호원 | id=1765285418151350
B3 | 열차운행관리원 | id=1765284316150822
B3 | 열처리반장 | id=1765285177241793
# B4 (5직업)
B4 | 열차수송원 | id=1765285417586967
B4 | 열차여객관리원 | id=1765284314983134
B4 | 열차차량정비관리원 | id=1765284316479418
B4 | 열처리원 | id=1765285177689563
B4 | 열탕살균원 | id=176528485443287
# B5 (5직업)
B5 | 열차승무운용원 | id=1765284314237495
B5 | 열차운용원 | id=1765285419018882
B5 | 열차홈안내원 | id=1765285420753480
B5 | 열환경안전관리원 | id=1765283947200970
B5 | 염료개발기술자 | id=1765283977257139
