# B1 (5직업)
B1 | 염료표준화원 | id=1765285029008276
B1 | 염색공정개발기술자 | id=1765283977497595
B1 | 염색시험원 | id=1765283982452765
B1 | 엽상기조작원 | id=1765285085726294
B1 | 영상통신연구원 | id=1765283679832525
# B2 (5직업)
B2 | 염료합성원 | id=1765285029392422
B2 | 염색공정개발시험원 | id=1765283982204247
B2 | 염색용얼음제조원 | id=176528528307085
B2 | 엽선절단기조작원 | id=1765284586376258
B2 | 영상필름관리원 | id=17652841383363
# B3 (5직업)
B3 | 염료분산기조작원 | id=1765285028335729
B3 | 염색반장 | id=1765284937002957
B3 | 영리단체총괄경영자 | id=1765283539945705
B3 | 영상기자 | id=1765284131223824
B3 | 영업판매관리자 | id=1765283412115147
# B4 (5직업)
B4 | 염료여과기조작원 | id=1765285028646591
B4 | 염색설비개발기술자 | id=1765283919209266
B4 | 영문에디터 | id=1765284129230302
B4 | 영상물대여원 | id=1765284528104300
B4 | 영업지원사무원 | id=1765284248036972
# B5 (5직업)
B5 | 염료조액원 | id=1765284936618375
B5 | 염색설비개발시험원 | id=1765283938689469
B5 | 염수정제원 | id=176528489335152
B5 | 영상물번역가 | id=1765284133926945
B5 | 영양교사 | id=1765284007735109
