# B1 (5직업)
B1 | 영화기술감독 | id=176528414798038
B1 | 영화상영기획원 | id=1765284248645828
B1 | 영화제-프로그래머 | id=1765284228163261
B1 | 영화필름인화원 | id=1765285556372633
B1 | 예비군지휘관 | id=1765284343648177
# B2 (5직업)
B2 | 영화라인프로듀서 | id=1765284148347861
B2 | 영화스토리보드작가 | id=1765284148676606
B2 | 영화제작자 | id=1765283568214930
B2 | 영화필름현상원 | id=1765285556992150
B2 | 예비박피원 | id=1765284579289636
# B3 (5직업)
B3 | 영유아안전장치설치원 | id=1765284613321563
B3 | 영화배급관리자 | id=1765283567941422
B3 | 영화연출스크립터 | id=1765284169701696
B3 | 영화큐레이터 | id=1765284170082953
B3 | 영화홍보마케터 | id=17652841074793
# B4 (5직업)
B4 | 영화배급원 | id=1765284248326138
B4 | 영화예고편제작자 | id=1765284148999890
B4 | 영화편집기사 | id=1765284158612117
B4 | 예능작가 | id=1765284126778237
B4 | 예방의학과전문의사 | id=1765283994261273
# B5 (5직업)
B5 | 영화복원원 | id=1765284136633189
B5 | 영화자막제작원 | id=1765284353026140
B5 | 영화프로듀서 | id=1765284228496818
B5 | 예능학원강사 | id=176528404792738
B5 | 예술모델 | id=1765284153836422
