# B1 (5직업)
B1 | 예술제본가 | id=1765284791636404
B1 | 예체능교수 | id=1765284032772795
B1 | 오락용승차기구보조원 | id=1765284481501720
B1 | 오리사육사 | id=1765284544525177
B1 | 온라인평판관리원 | id=1765284107964414
# B2 (5직업)
B2 | 예술품운송설치원 | id=1765284719999873
B2 | 예식장종사원 | id=1765284464830400
B2 | 예체능연구관리자 | id=1765283550294110
B2 | 오락용승차기구조작원 | id=1765284481904842
B2 | 오버로크재봉사 | id=1765284596052859
# B3 (5직업)
B3 | 예약접수원 | id=1765284424749972
B3 | 오락장비대여원 | id=176528452843540
B3 | 오토바이판매원 | id=1765284516481824
B3 | 옥외광고매체기획원 | id=176528410772416
B3 | 온돌공 | id=1765284766786175
# B4 (5직업)
B4 | 예열기조작원 | id=1765285242594418
B4 | 오락장서비스원 | id=176528448220033
B4 | 오프셋인쇄기조작원 | id=1765285543955705
B4 | 옥외광고판설계원 | id=1765284204958318
B4 | 온돌공조공 | id=1765284767537723
# B5 (5직업)
B5 | 예술사진작가 | id=1765284174376608
B5 | 예인선파송원 | id=1765284317206337
B5 | 옥피사별기조작원 | id=1765284827639617
B5 | 온돌편수 | id=1765284767796363
B5 | 온라인전기자동차연구원 | id=1765283851304685
