# B1 (5직업)
B1 | 온실가스관리-컨설턴트 | id=1765283953639609
B1 | 온실가스저감장치기술자 | id=1765283919481745
B1 | 온에어프로모션-디자이너 | id=1765284213151397
B1 | 와이어커팅기조작원 | id=1765285274525850
B1 | 왁스모형제작반장 | id=1765284632504365
# B2 (5직업)
B2 | 온실가스에너지목표관리제검증심사원 | id=176528406964041
B2 | 온실가스저감장치설치원 | id=1765284683094647
B2 | 와이어포밍기조작원 | id=1765285544503872
B2 | 와인감별사 | id=1765284490878150
B2 | 왁스모형제작원 | id=1765284632892541
# B3 (5직업)
B3 | 온실가스인벤토리검증심사원 | id=1765284069885100
B3 | 온실가스측정기개발자 | id=1765283919784402
B3 | 왁서 | id=1765284460507591
B3 | 왁스모형조립반장 | id=1765284633338491
B3 | 외국민속공예가 | id=1765284791968435
# B4 (5직업)
B4 | 온실가스인증사무원 | id=1765284234206667
B4 | 온실가스포집기술연구원 | id=1765283792430478
B4 | 왁스모형조립원 | id=1765284633641832
B4 | 완구모조장식품판매원 | id=1765284516990698
B4 | 외국변호사 | id=1765284059787275
# B5 (5직업)
B5 | 온실가스저감기술연구원 | id=1765283792089734
B5 | 온실가스포집설비기술자 | id=1765283920058623
B5 | 와이어조작원 | id=1765285511311807
B5 | 외과전문의사 | id=1765283994498696
B5 | 외국어교사 | id=1765284036710680
