# B1 (5직업)
B1 | 외식업체-매니저 | id=176528359525041
B1 | 외환기획원 | id=1765284091815708
B1 | 요소맞춤원 | id=1765284754308606
B1 | 용강기중기조종원 | id=1765285435233990
B1 | 용수설비정비원 | id=1765284684013386
# B2 (5직업)
B2 | 외자조달사무원 | id=1765284379920118
B2 | 외환매매사무원 | id=1765284380652120
B2 | 요리당제조원 | id=1765284893633799
B2 | 요판종판조각원 | id=1765284173125116
B2 | 용강조정원 | id=1765285294653768
# B3 (5직업)
B3 | 외주관리원 | id=1765284271770220
B3 | 외환사무관리자 | id=176528438111571
B3 | 요리학원강사 | id=1765284044202704
B3 | 용당제조원 | id=1765284893907694
B3 | 용선예비처리직 | id=1765285148110351
# B4 (5직업)
B4 | 외화대출사무원 | id=1765284380259915
B4 | 요업소성로조작원 | id=1765285227052604
B4 | 용선중개인 | id=1765284121868430
B4 | 용수관리종합상황실관리자 | id=1765283577232683
B4 | 용압반장 | id=176528517810929
# B5 (5직업)
B5 | 외국어학원강사 | id=1765284040453509
B5 | 요금사무원 | id=17652843495596
B5 | 요업제품품질검사원 | id=1765283835198200
B5 | 용수설비정비반장 | id=176528468354658
B5 | 용역계약관리원 | id=1765284347370984
