# B1 (5직업)
B1 | 용접공학기술자 | id=1765283920354224
B1 | 용지조사원 | id=1765284248953315
B1 | 용해원부자재관리원 | id=1765285148696610
B1 | 우유수령원 | id=1765284855020327
B1 | 운동경기기록원 | id=1765284221513882
# B2 (5직업)
B2 | 용접반장 | id=1765284645623781
B2 | 용해유살균배양원 | id=1765284854732888
B2 | 우라늄재변환제조원 | id=1765285044904751
B2 | 우주센터발사지휘통제원 | id=1765283970343890
B2 | 운동경기정찰원 | id=1765284485951100
# B3 (5직업)
B3 | 용융도금원 | id=1765285201888657
B3 | 용접절단원 | id=1765284645967412
B3 | 우레탄발포기조작원 | id=1765285107861573
B3 | 우주전파환경예보관 | id=1765283635591289
B3 | 운동생리학연구원 | id=1765283618088956
# B4 (5직업)
B4 | 용융유황제조원 | id=1765285029781693
B4 | 용접철망기조작원 | id=1765285137338598
B4 | 우산제조원 | id=176528557163453
B4 | 우편기계보수원 | id=1765284684339320
B4 | 운동선수-매니저 | id=1765284229859616
# B5 (5직업)
B5 | 용해로조작원 | id=17652851484264
B5 | 우유검사원 | id=1765283979726122
B5 | 우정실무원 | id=1765284353324784
B5 | 우편원 | id=1765284317627975
B5 | 운동선수스카우터 | id=1765284230211430
