# B1 (5직업)
B1 | 운송관리자 | id=1765283412377363
B1 | 운행분석원 | id=1765284318392951
B1 | 원단개폭원 | id=1765284937310989
B1 | 원단포장원 | id=17652855947252
B1 | 원모선별원 | id=1765284991195664
# B2 (5직업)
B2 | 운동선수트레이너 | id=1765284224447524
B2 | 운송매표원 | id=1765284525869493
B2 | 웅변강사 | id=1765284048170855
B2 | 원단세척원 | id=1765284937607752
B2 | 원목검사원 | id=1765284610762355
# B3 (5직업)
B3 | 운동시설관리자 | id=1765283592433146
B3 | 웃음지도사 | id=1765284224705264
B3 | 원가관리사무원 | id=1765284347638839
B3 | 원단재단기조작원 | id=1765284990294909
B3 | 원목검척원 | id=1765284558165143
# B4 (5직업)
B4 | 운동코치 | id=1765284215039469
B4 | 운전정밀검사요원 | id=1765283947442694
B4 | 웃음치료사 | id=1765284015361373
B4 | 원격교육연구원 | id=1765284057334595
B4 | 원단접착기조작원 | id=1765284938026268
# B5 (5직업)
B5 | 운송고객관리사무원 | id=1765284317997131
B5 | 운항자격심사관 | id=1765284061556657
B5 | 원단탈수원 | id=1765284938328917
B5 | 원면혼합기조작원 | id=1765284915260712
B5 | 원모선별반장 | id=1765284990736677
