# B1 (5직업)
B1 | 원목공급원 | id=176528543566769
B1 | 원목분류원 | id=1765284558732484
B1 | 원목절단원 | id=1765285487848909
B1 | 원석할석원 | id=1765285252686185
B1 | 원자력계측제어정비원 | id=1765284716556621
# B2 (5직업)
B2 | 원목관리원 | id=1765284272162700
B2 | 원목운반원 | id=1765284558995751
B2 | 원목절삭기조작원 | id=1765285488235130
B2 | 원심분리기조작원 | id=1765284894191118
B2 | 원자력기술자 | id=1765283961776561
# B3 (5직업)
B3 | 원목등급원 | id=1765284558465182
B3 | 원목인양기조종원 | id=1765285436084537
B3 | 원사투입원 | id=1765284956226664
B3 | 원액현장감독자 | id=1765285030172845
B3 | 원예작물환경연구원 | id=1765283618365217
# B4 (5직업)
B4 | 원목박피기조작원 | id=1765285487483175
B4 | 원목인양반장 | id=1765285581336715
B4 | 원산지관리사 | id=1765284301431488
B4 | 원염용해조조작원 | id=1765284894549946
B4 | 원예종묘시험원 | id=1765283664045410
# B5 (5직업)
B5 | 원목방부처리원 | id=1765284611128121
B5 | 원목인양원 | id=1765285581636364
B5 | 원색분해기조작원 | id=1765285557502176
B5 | 원예치료사 | id=176528401560696
B5 | 원유품질검사원 | id=1765283811904517
