# B1 (5직업)
B1 | 원자력설비설계원 | id=1765283851678770
B1 | 원자로운전원 | id=1765285327724779
B1 | 원전계전기술연구원 | id=1765283852112179
B1 | 원피분할원 | id=1765284992520369
B1 | 원형제작원 | id=1765284792358538
# B2 (5직업)
B2 | 원자력안전관리원 | id=1765283947742593
B2 | 원자로현장운전원 | id=176528532812563
B2 | 원전설비연구원 | id=1765283920636454
B2 | 원피선별원 | id=1765284992915335
B2 | 원형톱할석원 | id=17652852529692
# B3 (5직업)
B3 | 원자력연료제조원 | id=1765285274834373
B3 | 원자재품질분석원 | id=1765284291424628
B3 | 원전안전분석기술연구원 | id=17652838525311
B3 | 원통도금원 | id=1765285202157669
B3 | 원피제육제모원 | id=176528499333153
# B4 (5직업)
B4 | 원자력품질관리원 | id=1765284291015234
B4 | 원전연료장전원 | id=1765285328583740
B4 | 원판절단기조작원 | id=1765285275157997
B4 | 원피건조원 | id=1765284991680899
B4 | 원피톱밥태고조작원 | id=176528499372489
# B5 (5직업)
B5 | 원자로공학연구원 | id=1765283962072657
B5 | 원전토건기술연구원 | id=1765283758520739
B5 | 원피깎기원 | id=1765284992092129
B5 | 원피화학처리원 | id=1765284994136115
B5 | 원화원 | id=176528418234323
