# B1 (5직업)
B1 | 웨이퍼디퓨전장비조작원 | id=1765285355360593
B1 | 웨이퍼텍스처링장비조작원 | id=1765285357640308
B1 | 웹머천다이저 | id=1765284188497895
B1 | 웹서비스기획원 | id=1765283716351101
B1 | 위권반장 | id=1765284957136845
# B2 (5직업)
B2 | 웨이퍼반사방지코팅장비조작원 | id=1765285355833575
B2 | 웨이퍼피에스지제거장비조작원 | id=1765285358098591
B2 | 웹소설기획자 | id=1765284129477255
B2 | 웹툰아트디렉터 | id=1765284129990880
B2 | 위권틀보기원 | id=1765284957467673
# B3 (5직업)
B3 | 원화작화감독 | id=1765284182698601
B3 | 웨딩도우미 | id=1765284465362771
B3 | 웨이퍼수입검사원 | id=1765285356255508
B3 | 웹툰후보정작가 | id=1765284183359107
B3 | 웹퍼블리셔 | id=1765283717140950
# B4 (5직업)
B4 | 웨딩드레스제조원 | id=1765284606096272
B4 | 웨이퍼전극측정원 | id=1765285356753510
B4 | 웹-방송-엔지니어 | id=1765284163692148
B4 | 웹호스팅기획자 | id=1765284097714168
B4 | 위관운반원 | id=1765284956540820
# B5 (5직업)
B5 | 웨이퍼전극형성장비조작원 | id=1765285357159219
B5 | 웹마케터 | id=1765284108207431
B5 | 웹서버관리원 | id=1765283739149115
B5 | 위관잔사처리원 | id=1765284956813844
B5 | 위락놀이시설-디자이너 | id=1765283763338615
