# B1 (5직업)
B1 | 위생도기이형제처리원 | id=1765285227463501
B1 | 위생용품제조반장 | id=1765285524682972
B1 | 위성통신망시공기술자 | id=1765283680686696
B1 | 위험평가사정원 | id=1765284092062153
B1 | 유가증권대차거래중개인 | id=176528408866071
# B2 (5직업)
B2 | 위변조방지기술개발원 | id=176528382473568
B2 | 위생도기조립원 | id=1765285227854793
B2 | 위생청소원 | id=1765284816277853
B2 | 위성통신망운용원 | id=176528368106587
B2 | 유가증권매매제도기획원 | id=1765284387631248
# B3 (5직업)
B3 | 위생용품가공설비조작원 | id=1765285523349448
B3 | 위성방송상품개발원 | id=1765284097956570
B3 | 위성통신설비관리원 | id=1765283743111170
B3 | 위조주화감정연구원 | id=1765284115661488
B3 | 유가증권발행사무원 | id=1765284388107347
# B4 (5직업)
B4 | 위생용품검사원 | id=1765285523763464
B4 | 위성통신망감리원 | id=1765283680101889
B4 | 위성통신설비연구원 | id=1765283681349824
B4 | 위폐감정사 | id=1765284115914278
B4 | 유가증권보관사무원 | id=1765284388531751
# B5 (5직업)
B5 | 위생용품성형설비조작원 | id=1765285524244163
B5 | 위성통신망설계기술자 | id=1765283680417434
B5 | 위험물취급원 | id=1765283947997579
B5 | 윈치염색원 | id=1765284938594256
B5 | 유가증권-디자이너 | id=1765284205345466
