# B1 (5직업)
B1 | 리거 | id=176528469651442
B1 | 리드절삭원 | id=176528461846099
B1 | 리드조정원 | id=1765284618705534
B1 | 리벳원 | id=1765284736983404
B1 | 리스사무원 | id=1765284527687198
# B2 (5직업)
B2 | 리와인더조작원 | id=1765285507976702
B2 | 리코더조립원 | id=1765284619006155
B2 | 리톱기계조작원 | id=1765285475211564
B2 | 리튬이온이차전지전극제조원 | id=1765285334575416
B2 | 리튬이온이차전지충방전원 | id=1765285334967680
# B3 (5직업)
B3 | 리튬이온이차전지품질검사원 | id=1765283893419784
B3 | 리튬이온전지개발자 | id=1765283778947700
B3 | 리튬이온전지패키지설계기술자 | id=1765283779329801
B3 | 리튬전지조립원 | id=1765285335377683
B3 | 리튬폴리머전지조립원 | id=1765285335682279
# B4 (5직업)
B4 | 리프트조작원 | id=1765285433529509
B4 | 림조립원 | id=1765285318916433
B4 | 링킹기계조작원 | id=1765284981879802
B4 | 마광원 | id=176528524840979
B4 | 마권투표관리원 | id=1765284255086374
# B5 (5직업)
B5 | 마네킹고무주형원 | id=1765285080844734
B5 | 마네킹마무리원 | id=1765285123598270
B5 | 마네킹사출성형원 | id=1765285101918453
B5 | 마리나운영원 | id=1765284485056919
B5 | 마술사 | id=1765283302813702
