# B1 (5직업)
B1 | 마스크가공반장 | id=1765285375968513
B1 | 마스크가공원 | id=1765285376343430
B1 | 마스크수리원 | id=1765284704677973
B1 | 마스크투입원 | id=1765284704986759
B1 | 마운트기조작원 | id=1765285336014336
# B2 (5직업)
B2 | 마을활동가 | id=1765284028217401
B2 | 마이크로필름편집원 | id=1765284436610616
B2 | 마장취체위원 | id=1765284485470631
B2 | 마취과전문의사 | id=1765283992022330
B2 | 마취전문간호사 | id=1765284002663431
# B3 (5직업)
B3 | 마카로니제조원 | id=1765284831848133
B3 | 마케팅사무원 | id=1765284242541817
B3 | 마킹원 | id=176528556429041
B3 | 막검사원 | id=1765285376774484
B3 | 만년필튜브검사원 | id=1765285081270168
# B4 (5직업)
B4 | 만년필튜브성형기조작원 | id=1765285081554160
B4 | 만두성형기조작원 | id=1765284832094513
B4 | 만두소제조원 | id=1765284832365467
B4 | 만두증숙냉동기조작원 | id=1765284832621409
B4 | 만두피성형원 | id=1765284832895528
# B5 (5직업)
B5 | 만화데생작가 | id=1765284175214673
B5 | 만화스토리작가 | id=1765284125315396
B5 | 만화에이전트 | id=1765284128743208
B5 | 만화영화검사원 | id=1765284175548748
B5 | 만화영화디지털페인터 | id=17652841758271
