# B1 (5직업)
B1 | 만화영화연출가 | id=1765284143714399
B1 | 만화출판기획자 | id=1765284128980711
B1 | 만화컬러작가 | id=1765284176155327
B1 | 만화펜터치작가 | id=1765284176474819
B1 | 말관리사 | id=1765284548987363
# B2 (5직업)
B2 | 맛소금제조원 | id=1765284886452249
B2 | 망간건전지조립원 | id=1765285521358147
B2 | 망관리기술연구원 | id=1765283675480752
B2 | 맞춤형화장품조제관리사 | id=1765284463357353
B2 | 매너강사 | id=1765284052186577
# B3 (5직업)
B3 | 매니플레이트운전원 | id=1765284640426109
B3 | 매듭기수리원 | id=1765284668998125
B3 | 매립가스발전장치조작원 | id=1765285003821634
B3 | 매립가스정제원 | id=1765285004210720
B3 | 매립가스포집분석원 | id=1765283965639377
# B4 (5직업)
B4 | 매립가스플랜트설비기술자 | id=176528390861680
B4 | 매립가스플랜트시공기술자 | id=1765283756865570
B4 | 매장-매니저 | id=1765284502217876
B4 | 매장정리원 | id=1765285613624602
B4 | 매트리스스프링가공원 | id=1765284982318761
# B5 (5직업)
B5 | 매트리스제조반장 | id=1765284982795214
B5 | 매트리스조립원 | id=1765284983274285
B5 | 매트리스커버누비원 | id=176528498366784
B5 | 매트리스커버봉제원 | id=1765284593366760
B5 | 매트리스포장원 | id=1765285564655704
