# B1 (5직업)
B1 | 매트페인터 | id=1765284166708476
B1 | 매표원-및-복권판매원 | id=1765283489768934
B1 | 맥아제조원 | id=1765284868179441
B1 | 맥주양조사 | id=1765284868548266
B1 | 맥주양조책임자 | id=1765283579279435
# B2 (5직업)
B2 | 맹인적응교육교사 | id=1765284038764919
B2 | 머서가공기운전원 | id=1765284933753552
B2 | 머시닝센터조작원 | id=1765285266938591
B2 | 머천다이저 | id=176528409450465
B2 | 멀티미디어분석가 | id=176528371513688
# B3 (5직업)
B3 | 멀티미디어연구원 | id=1765283866252422
B3 | 메달제조원 | id=1765285267186102
B3 | 메디컬라이터 | id=17652841255626
B3 | 메디컬일러스트레이터 | id=1765284202980664
B3 | 메모리반도체소자-공정연구원 | id=1765283866505539
# B4 (5직업)
B4 | 메모리반도체소자연구원 | id=1765283866774986
B4 | 메모리반도체제조기술자 | id=1765283867151880
B4 | 메추리사육사 | id=1765284549316842
B4 | 면삭원 | id=176528526750819
B4 | 면세점판매원 | id=1765284509616496
# B5 (5직업)
B5 | 면취기조작원 | id=1765285475659360
B5 | 멸균관리사 | id=1765284815826762
B5 | 명의개서대행사무원 | id=1765284369804855
B5 | 명품감정사 | id=1765284114917135
B5 | 모낭분리사 | id=1765284457005773
