# B1 (5직업)
B1 | 모피염색원 | id=1765284934154258
B1 | 모피의류완성원 | id=1765284606371564
B1 | 모피의류패턴사 | id=1765284587184513
B1 | 모피재단사 | id=176528459035739
B1 | 모피재봉사 | id=1765284593945500
# B2 (5직업)
B2 | 모피판장원 | id=1765284984849718
B2 | 목공반장 | id=1765284751544230
B2 | 목공보조원 | id=1765284751929414
B2 | 목공소작업원 | id=176528460989530
B2 | 목관세척원 | id=176528490540252
# B3 (5직업)
B3 | 목관악기제조원 | id=176528461937733
B3 | 목관운반원 | id=1765285591189189
B3 | 목드럼제작원 | id=1765285534005429
B3 | 목선반성형기조작원 | id=1765285476151341
B3 | 목선반조작원 | id=176528547659318
# B4 (5직업)
B4 | 목욕관리사 | id=1765284459827410
B4 | 목재가공기조작원 | id=1765285477014737
B4 | 목재가구제조관리자 | id=1765283579546564
B4 | 목재건조기운전원 | id=1765285477856851
B4 | 목재건조반장 | id=1765285478300755
# B5 (5직업)
B5 | 목재교육전문가 | id=1765284042910686
B5 | 목재등급평가사 | id=1765284553197238
B5 | 목재밀링기조작원 | id=1765285478887413
B5 | 목재보링기조작원 | id=1765285479460406
B5 | 목재분쇄기운전원 | id=1765285479895144
