# B1 (5직업)
B1 | 목재수분시험원 | id=17652839859167
B1 | 목재수확계획원 | id=1765284553449406
B1 | 목재수확관리자 | id=1765283584270819
B1 | 목재수확조사원 | id=17652845538400
B1 | 목재연마원 | id=1765285480512323
# B2 (5직업)
B2 | 목재조각기조작원 | id=1765285481016814
B2 | 목재천공원 | id=1765285481468320
B2 | 목재측정원 | id=1765284554140153
B2 | 목재칩검수원 | id=1765284263937999
B2 | 목재칩분석원 | id=1765283986185811
# B3 (5직업)
B3 | 목재칩정선기조작원 | id=1765285481914893
B3 | 목재판매원 | id=1765284510114277
B3 | 목재평삭기조작원 | id=1765285482325868
B3 | 목재홈톱질원 | id=176528548261643
B3 | 목제품광택원 | id=1765284610168103
# B4 (5직업)
B4 | 목조각원 | id=1765284788687550
B4 | 목조주택건립반장 | id=1765284752366978
B4 | 목조주택건립원 | id=1765284752719603
B4 | 목초액제조설비운전원 | id=1765284560628155
B4 | 목초재배작업원 | id=1765284542290563
# B5 (5직업)
B5 | 목초지관리원 | id=1765284542565890
B5 | 목탄제조설비운전원 | id=1765285234356124
B5 | 목함제작원 | id=1765284610462619
B5 | 목형검사원 | id=1765284630355842
B5 | 목형설계원 | id=1765284630644189
