# B1 (5직업)
B1 | 목형제작반장 | id=1765284630966956
B1 | 목형제작원 | id=1765284631381791
B1 | 몰드주형원 | id=1765285223470124
B1 | 몰딩원 | id=1765285211102759
B1 | 몽타주제작전문가 | id=1765284442811377
# B2 (5직업)
B2 | 묘지관리원 | id=1765285607013478
B2 | 무기재료코팅연구원 | id=1765283820999372
B2 | 무기폭약감정관 | id=176528377972854
B2 | 무기화학연구원 | id=1765283633957604
B2 | 무늬목슬라이서조작원 | id=1765285483134327
# B3 (5직업)
B3 | 무늬목열압처리원 | id=1765285483595527
B3 | 무늬목접착원 | id=1765285484094736
B3 | 무대-디자이너 | id=1765284144031506
B3 | 무대-조명-디자이너 | id=1765284199429825
B3 | 무대기계조정원 | id=176528416694877
# B4 (5직업)
B4 | 무선기기감시원 | id=176528374065081
B4 | 무선기지국운용원 | id=1765283740977947
B4 | 무선시설기술자 | id=1765283675879176
B4 | 무선인터넷서비스기획원 | id=1765284094983721
B4 | 무선인터넷연구원 | id=1765283676253263
# B5 (5직업)
B5 | 무선중계시설기술자 | id=1765283676646412
B5 | 무선통신기기주파수조정원 | id=1765284729035785
B5 | 무선통신단말기수리원사후서비스 | id=1765284726682828
B5 | 무선통신단말기수리원제조-과정 | id=1765284726991280
B5 | 무선통신대리점관리사무원 | id=1765284242816491
