# B1 (5직업)
B1 | 무선통신망관리원 | id=1765283677017112
B1 | 무선통신연구원 | id=1765283677301215
B1 | 무선항해통신장비설치원 | id=1765284729360357
B1 | 무술감독 | id=1765284144344710
B1 | 무술연기자 | id=1765284153066251
# B2 (5직업)
B2 | 무역금융사무원 | id=1765284370192366
B2 | 무육관리원 | id=1765284554388127
B2 | 무인경비관제원 | id=1765284452475633
B2 | 무인경비영업원 | id=176528449457613
B2 | 무인기계경비원 | id=1765284450311656
# B3 (5직업)
B3 | 무인변전소관리원 | id=1765285322636735
B3 | 무인항공촬영기사 | id=1765284157845460
B3 | 무전기기술자 | id=1765283677558656
B3 | 무전기조립원 | id=1765285377066376
B3 | 무전해도금원 | id=1765285198152792
# B4 (5직업)
B4 | 무형재산권관리원 | id=1765284412483594
B4 | 문서감정사 | id=1765284208349728
B4 | 문양지펀칭기조작원 | id=1765284985243466
B4 | 문자판실크인쇄원 | id=176528553864811
B4 | 문자판전사원 | id=1765285539126328
# B5 (5직업)
B5 | 문자판제조현장감독자 | id=1765285377468685
B5 | 문자판조립원 | id=1765285377804679
B5 | 문자판타공원 | id=1765285378161122
B5 | 문전원 | id=1765284951788428
B5 | 문지원 | id=1765284952067996
