# B1 (5직업)
B1 | 문지제작반장 | id=1765284952394796
B1 | 문학연구원 | id=1765283642803176
B1 | 문화관광해설사 | id=1765284474328169
B1 | 문화상품기획자 | id=176528409522842
B1 | 문화세트기술자 | id=1765284144663265
# B2 (5직업)
B2 | 문화세트제작자 | id=176528416726065
B2 | 문화재분석원 | id=1765284135904607
B2 | 문화재실측설계기술자 | id=1765283748230357
B2 | 물감교반원 | id=1765285019392195
B2 | 물감롤링기조작원 | id=1765285019785239
# B3 (5직업)
B3 | 물고기치료사 | id=1765283999188151
B3 | 물레성형원 | id=1765284788963726
B3 | 물류-컨설턴트 | id=1765284067188868
B3 | 물류관리사무원 | id=1765284264333609
B3 | 물류기술연구원 | id=1765283986482553
# B4 (5직업)
B4 | 물류전산조작원 | id=1765283733817410
B4 | 물리시험원 | id=1765283668798698
B4 | 물리표준연구원 | id=1765283634279117
B4 | 미디어-파사드-디자이너 | id=1765284203359161
B4 | 미디어콘텐츠데이터분석가 | id=1765283724123893
# B5 (5직업)
B5 | 미래학자 | id=1765283647460336
B5 | 미분기운전원 | id=1765285248942788
B5 | 미분쇄기조작원 | id=1765285223926553
B5 | 미생물발효시험원 | id=176528365573399
B5 | 미생물발효연구원 | id=1765283604998940
