# B1 (5직업)
B1 | 미생물의약연구원 | id=176528360533114
B1 | 미생물정제원 | id=1765285050970783
B1 | 미생물제조원 | id=1765285051484851
B1 | 미생물학연구원 | id=1765283605671199
B1 | 미술감독 | id=1765284145095193
# B2 (5직업)
B2 | 미술관관리자 | id=1765283565743435
B2 | 미술교사 | id=1765284035209271
B2 | 미술아키비스트 | id=1765284137700205
B2 | 미술치료사 | id=1765284014379877
B2 | 미술품감정사 | id=1765284115157560
# B3 (5직업)
B3 | 미술품경매사 | id=1765284120830568
B3 | 미스터리쇼퍼 | id=1765284429494371
B3 | 미연신사운반원 | id=1765284905736392
B3 | 미용보조원 | id=1765284458471426
B3 | 미장공 | id=1765283498312707
# B4 (5직업)
B4 | 미장반장일반 | id=1765284762825644
B4 | 미장보조원일반 | id=1765284763217881
B4 | 민간조사원 | id=1765284452921769
B4 | 밀링기조작원 | id=1765285267815794
B4 | 밀정선기조작원 | id=1765284826118627
# B5 (5직업)
B5 | 밀폐형혼련기조작원 | id=1765285102363896
B5 | 바니시제조원 | id=1765285020078386
B5 | 바닥천부착원 | id=1765284602127846
B5 | 바디수리원 | id=1765284669315388
B5 | 바디페인팅아티스트 | id=176528446172837
