# B1 (5직업)
B1 | 바렐기조작원 | id=1765285268147842
B1 | 바이오가스플랜트발전시스템기술자 | id=17652839101841
B1 | 바이오가스플랜트설계기술자 | id=1765283910596709
B1 | 바이오가스플랜트유지관리원 | id=1765285004510970
B1 | 바이오농약제조원 | id=176528502044218
# B2 (5직업)
B2 | 바이오물류운영원 | id=1765284305761276
B2 | 바이오세라믹재료가공원 | id=1765285257257564
B2 | 바이오세라믹재료성형원 | id=1765285257601575
B2 | 바이오세라믹재료소결원 | id=1765285257937996
B2 | 바이오세라믹재료시험원 | id=1765283833997396
# B3 (5직업)
B3 | 바이오세라믹재료탈지원 | id=1765285258211213
B3 | 바이오세라믹재료포장원 | id=1765285258494412
B3 | 바이오세라믹재료품질관리원 | id=1765283834314245
B3 | 바이오세라믹재료합성원 | id=1765285258770873
B3 | 바이오소재인증연구원 | id=1765283780100813
# B4 (5직업)
B4 | 바이오에너지연구원 | id=1765283957797101
B4 | 바이오의약품공정개발연구원 | id=1765283780477713
B4 | 바이오의약품배양원 | id=1765285051933899
B4 | 바이오의약품배지제조원 | id=1765285052473304
B4 | 바이오의약품분리정제원 | id=1765285052903559
# B5 (5직업)
B5 | 바이오의약품분석법개발원 | id=1765283780892499
B5 | 바이오의약품생산관리자 | id=1765284284261614
B5 | 바이오의약품생산지원기술자 | id=1765284669647416
B5 | 바이오의약품설비품질보증기술자 | id=1765284284572580
B5 | 바이오의약품완제포장원 | id=1765285053321431
