# B1 (5직업)
B1 | 바이오의약품완충액제조원 | id=1765285053732770
B1 | 바이오의약품인허가관리자 | id=1765284067436867
B1 | 바이오의약품임상비임상연구원 | id=1765283606053559
B1 | 바이오의약품제제연구원 | id=1765283606430967
B1 | 바이오의약품품질보증기술자 | id=1765284284865281
# B2 (5직업)
B2 | 바이오의약품품질시험원 | id=1765284285166750
B2 | 바이오의약품품질평가기술자 | id=1765284285463541
B2 | 바이오의약품후보물질발굴연구원 | id=1765283606780497
B2 | 바이오작물보호제연구원 | id=1765283781293656
B2 | 바이오플라스틱연구원 | id=1765283781653602
# B3 (5직업)
B3 | 바이오화학분석연구원 | id=1765283782051400
B3 | 바이오화학소재연구원 | id=1765283782457377
B3 | 바이오화학제제제형연구원 | id=1765283782864444
B3 | 바이오화학제품공정개발기술자 | id=1765283783227571
B3 | 바이오화학제품균주관리원 | id=1765283655984334
# B4 (5직업)
B4 | 바이오화학제품배양원 | id=1765283656368649
B4 | 바이오화학제품분리정제공정관리자 | id=176528378367844
B4 | 바이오화학제품안정성평가자 | id=1765283784059761
B4 | 바이오화학제품전환공정관리자 | id=1765283784458927
B4 | 바이오화학제품중합공정관리자 | id=1765283784874103
# B5 (5직업)
B5 | 바이오화학제품품질관리자 | id=1765284285762482
B5 | 바이오화학제품품질평가관리자 | id=1765284286060539
B5 | 바텐터 | id=1765283480006378
B5 | 박리기조작원 | id=1765285143222375
B5 | 박막트랜지스터검사원 | id=1765285378599262
