# B1 (5직업)
B1 | 박막트랜지스터노광현상원 | id=1765285348312822
B1 | 박막트랜지스터러빙기조작원 | id=1765285348758853
B1 | 박막트랜지스터모듈조립원 | id=1765285379122323
B1 | 박막트랜지스터배향원 | id=176528534918190
B1 | 박막트랜지스터봉지원 | id=1765285565232742
# B2 (5직업)
B2 | 박막트랜지스터세정원 | id=1765285379622640
B2 | 박막트랜지스터셀절단원 | id=1765285349616768
B2 | 박막트랜지스터스페이스산포원 | id=1765285349974643
B2 | 박막트랜지스터식각원 | id=1765285350464602
B2 | 박막트랜지스터실형성원 | id=1765285350887414
# B3 (5직업)
B3 | 박막트랜지스터액정주입원 | id=1765285351356559
B3 | 박막트랜지스터증착원 | id=1765285351820734
B3 | 박막트랜지스터편광판부착원 | id=1765285380062752
B3 | 박막트랜지스터협착원 | id=1765285352236130
B3 | 박물관교육사 | id=1765284052420261
# B4 (5직업)
B4 | 박제및표본제작공 | id=1765284136147556
B4 | 반고형제의약품생산원 | id=1765285054179916
B4 | 반도체가스재료개발연구원 | id=1765283821261554
B4 | 반도체가스재료공정연구원 | id=1765283821538970
B4 | 반도체계측검사공정기술자 | id=1765283867493653
# B5 (5직업)
B5 | 반도체계측검사공정연구원 | id=1765283867776966
B5 | 반도체계측검사장비공정연구원 | id=1765283868122166
B5 | 반도체계측검사장비기술자 | id=1765284670641577
B5 | 반도체계측검사장비부분품연구원 | id=1765283868414447
B5 | 반도체광학재료개발연구원 | id=1765283821833440
