# B1 (5직업)
B1 | 반도체광학재료공정연구원 | id=1765283822094570
B1 | 반도체금속막증착공정기술자 | id=1765283868689471
B1 | 반도체금속막증착공정연구원 | id=1765283868944713
B1 | 반도체금속막증착장비공정연구원 | id=1765283869224882
B1 | 반도체금속막증착장비기술자 | id=1765284670915978
# B2 (5직업)
B2 | 반도체금속막증착장비부분품연구원 | id=1765283869608313
B2 | 반도체금속재료개발연구원 | id=1765283822415610
B2 | 반도체금속재료공정연구원 | id=1765283822687639
B2 | 반도체디지털회로설계연구원 | id=1765283869954301
B2 | 반도체레이아웃설계기술자 | id=1765283870230381
# B3 (5직업)
B3 | 반도체사진현상공정기술자 | id=1765283870492500
B3 | 반도체사진현상공정연구원 | id=1765283870776188
B3 | 반도체사진현상장비공정연구원 | id=1765283871073261
B3 | 반도체사진현상장비기술자 | id=1765284671207740
B3 | 반도체사진현상장비부분품연구원 | id=1765283871405491
# B4 (5직업)
B4 | 반도체세정공정기술자 | id=1765283871779449
B4 | 반도체세정공정연구원 | id=1765283872097905
B4 | 반도체세정장비공정연구원 | id=1765283872359104
B4 | 반도체세정장비기술자 | id=1765284671499583
B4 | 반도체세정장비부분품연구원 | id=1765283872619344
# B5 (5직업)
B5 | 반도체소자웨이퍼검사공정기술자 | id=1765283872917927
B5 | 반도체소자웨이퍼검사공정연구원 | id=1765283873168274
B5 | 반도체소자웨이퍼검사장비공정연구원 | id=1765283873461537
B5 | 반도체소자웨이퍼검사장비기술자 | id=1765284671793905
B5 | 반도체소자웨이퍼검사장비부분품연구원 | id=1765283873783942
