# B1 (5직업)
B1 | 반도체소자패키지검사공정기술자 | id=1765283874098449
B1 | 반도체소자패키지검사공정연구원 | id=1765283874377433
B1 | 반도체소자패키지검사장비공정연구원 | id=1765283874669891
B1 | 반도체소자패키지검사장비기술자 | id=1765284672110517
B1 | 반도체소자패키지검사장비부분품연구원 | id=1765283875000945
# B2 (5직업)
B2 | 반도체소자품질공정기술자 | id=1765283875293593
B2 | 반도체소자품질공정연구원 | id=1765283875600364
B2 | 반도체식각공정기술자 | id=176528387590373
B2 | 반도체식각공정연구원 | id=1765283876182400
B2 | 반도체식각장비공정연구원 | id=176528387647118
# B3 (5직업)
B3 | 반도체식각장비기술자 | id=1765284672407636
B3 | 반도체식각장비부분품연구원 | id=1765283876743416
B3 | 반도체아날로그회로설계연구원 | id=1765283877028150
B3 | 반도체아키텍처설계연구원 | id=1765283877346159
B3 | 반도체연삭공정기술자 | id=1765283877602376
# B4 (5직업)
B4 | 반도체연삭공정연구원 | id=1765283877974237
B4 | 반도체연삭장비공정연구원 | id=1765283878276312
B4 | 반도체연삭장비기술자 | id=176528467268019
B4 | 반도체연삭장비부분품연구원 | id=1765283980477537
B4 | 반도체웨이퍼재료개발연구원 | id=1765283823058289
# B5 (5직업)
B5 | 반도체웨이퍼재료공정연구원 | id=1765283823352821
B5 | 반도체이온주입공정기술자 | id=1765283878597812
B5 | 반도체이온주입공정연구원 | id=1765283878900375
B5 | 반도체이온주입장비공정연구원 | id=1765283879158541
B5 | 반도체이온주입장비기술자 | id=1765284672996346
