# B1 (5직업)
B1 | 반도체이온주입장비부분품연구원 | id=1765283879427181
B1 | 반도체장비고객지원기술자 | id=1765284673289641
B1 | 반도체장비구매관리자 | id=1765284264745702
B1 | 반도체장비기구개발자 | id=1765283911013346
B1 | 반도체장비기구조립원 | id=1765285313941738
# B2 (5직업)
B2 | 반도체장비보드개발자 | id=1765283879708194
B2 | 반도체장비성능평가기술자 | id=176528389369142
B2 | 반도체장비시스템소프트웨어개발자 | id=1765283701245528
B2 | 반도체장비자동화소프트웨어개발자 | id=1765283708235863
B2 | 반도체장비전장개발자 | id=1765283839695871
# B3 (5직업)
B3 | 반도체장비전장조립원 | id=1765285380378139
B3 | 반도체장비품질관리기술자 | id=1765284286449141
B3 | 반도체재료구매관리기술자 | id=1765284265242945
B3 | 반도체재료생산관리기술자 | id=176528428674417
B3 | 반도체재료성능평가기술자 | id=1765283834589181
# B4 (5직업)
B4 | 반도체재료안전관리기술자 | id=1765283944253160
B4 | 반도체재료품질관리기술자 | id=1765284287039273
B4 | 반도체제품기획관리자 | id=1765283879993800
B4 | 반도체칩몰딩공정기술자 | id=1765283880269109
B4 | 반도체칩몰딩공정연구원 | id=1765283880629721
# B5 (5직업)
B5 | 반도체칩몰딩장비공정연구원 | id=1765283880998416
B5 | 반도체칩몰딩장비기술자 | id=1765284673608160
B5 | 반도체칩몰딩장비부분품연구원 | id=1765283881360442
B5 | 반도체칩본딩공정기술자 | id=1765283881616300
B5 | 반도체칩본딩공정연구원 | id=1765283881935586
