# B1 (5직업)
B1 | 반도체칩본딩장비공정연구원 | id=1765283882237382
B1 | 반도체칩본딩장비기술자 | id=1765284673959131
B1 | 반도체칩본딩장비부분품연구원 | id=1765283882509621
B1 | 반도체칩절단공정기술자 | id=1765283882810706
B1 | 반도체칩절단공정연구원 | id=1765283883084886
# B2 (5직업)
B2 | 반도체칩절단장비공정연구원 | id=1765283883418779
B2 | 반도체칩절단장비기술자 | id=1765284674343693
B2 | 반도체칩절단장비부분품연구원 | id=1765283883802477
B2 | 반도체칩접합공정기술자 | id=1765283884060520
B2 | 반도체칩접합공정연구원 | id=1765283884325186
# B3 (5직업)
B3 | 반도체칩접합장비공정연구원 | id=1765283884619670
B3 | 반도체칩접합장비기술자 | id=1765284674633298
B3 | 반도체칩접합장비부분품연구원 | id=1765283884883227
B3 | 반도체패키지제품설계기술자 | id=1765283885224443
B3 | 반도체화학기상증착공정기술자 | id=1765283885534913
# B4 (5직업)
B4 | 반도체화학기상증착공정연구원 | id=1765283885816631
B4 | 반도체화학기상증착장비공정연구원 | id=1765283886111774
B4 | 반도체화학기상증착장비기술자 | id=1765284674910441
B4 | 반도체화학기상증착장비부분품연구원 | id=1765283886367453
B4 | 반도체화학약품재료개발연구원 | id=1765283823669128
# B5 (5직업)
B5 | 반도체화학약품재료공정연구원 | id=1765283823922422
B5 | 반도체화학적기계적연마공정기술자 | id=1765283886624715
B5 | 반도체화학적기계적연마공정연구원 | id=1765283886949135
B5 | 반도체화학적기계적연마장비공정연구원 | id=1765283887226445
B5 | 반도체화학적기계적연마장비기술자 | id=1765284675203194
