# B1 (5직업)
B1 | 반도체화학적기계적연마장비부분품연구원 | id=1765283887489182
B1 | 반도체확산공정기술자 | id=1765283887750965
B1 | 반도체확산공정연구원 | id=1765283888033716
B1 | 반도체확산장비공정연구원 | id=1765283988765156
B1 | 반도체확산장비기술자 | id=1765284675631751
# B2 (5직업)
B2 | 반도체확산장비부분품연구원 | id=1765283888634555
B2 | 반도체fab설비관리기술자 | id=1765284670030723
B2 | 반도체fab시설운영기술자 | id=1765284670362738
B2 | 반려동물생산자 | id=1765284542834170
B2 | 반려동물장의사 | id=1765284466532732
# B3 (5직업)
B3 | 반려동물행동교정사 | id=176528446742453
B3 | 반목원 | id=1765285301698244
B3 | 반응기조작원 | id=1765285020811672
B3 | 반응로장입원 | id=1765285143479397
B3 | 반응로조작원 | id=1765285143765473
# B4 (5직업)
B4 | 반응조관리원 | id=1765285021349462
B4 | 반죽분할기조작원 | id=1765284833198956
B4 | 반죽혼합원 | id=1765284833486173
B4 | 발광관조립원 | id=1765285380750808
B4 | 발렛파킹원 | id=1765284477537591
# B5 (5직업)
B5 | 발사체기술연구원 | id=1765283911375617
B5 | 발사체추진기관시험원 | id=1765283911791178
B5 | 발사체추진기관연구원 | id=1765283912174583
B5 | 발색반응공정원 | id=1765285021780374
B5 | 발전계전연구원 | id=1765283840048234
