# B1 (5직업)
B1 | 발전기계공무기술원 | id=1765283936709242
B1 | 발전기계설비정비반장 | id=1765284675927490
B1 | 발전기계연구원 | id=1765283912565567
B1 | 발전기조립원 | id=1765285381035214
B1 | 발전설비기계정비원 | id=1765284676234463
# B2 (5직업)
B2 | 발전설비연구원 | id=1765283840524411
B2 | 발전설비조정제어원 | id=1765285322990562
B2 | 발전소연료분석원 | id=176528366916389
B2 | 발전업무보조원 | id=1765285323382674
B2 | 발전연료관리원 | id=1765284265687715
# B3 (5직업)
B3 | 발전용수분석원 | id=1765283669616792
B3 | 발전용수설비운전원 | id=1765285323690155
B3 | 발전용연료전지모니터링원 | id=1765285324024922
B3 | 발전용연료전지스택모듈조립원 | id=1765285381346486
B3 | 발전용연료전지유지보수원 | id=1765284708758184
# B4 (5직업)
B4 | 발전운영계획관리자 | id=1765283576370328
B4 | 발전운전원 | id=1765285324442294
B4 | 발전전기공무기술원 | id=1765283893952854
B4 | 발전전기설비정비원 | id=1765285324802278
B4 | 발전전기설비정비현장감독자 | id=1765285325166438
# B5 (5직업)
B5 | 발전제어공무기술원 | id=1765283894260846
B5 | 발전책임운전원 | id=1765283840893475
B5 | 발전통신원 | id=1765283741256726
B5 | 발전환경입지계획원 | id=176528424306128
B5 | 발전효율관리원 | id=1765283841247476
