# B1 (5직업)
B1 | 발포고무경화원 | id=1765285081902996
B1 | 발포제도포기조작원 | id=1765285522463213
B1 | 발포제제조원 | id=1765285522813611
B1 | 발효실관리원 | id=1765284568202564
B1 | 발효유균질액혼합원 | id=1765284846636660
# B2 (5직업)
B2 | 발효유배양액균질원 | id=1765284846921512
B2 | 발효유원료조합원 | id=176528484728021
B2 | 밧줄제조기조작원 | id=176528498564140
B2 | 밧줄타래기조작원 | id=1765284986032737
B2 | 방모반장 | id=1765284906050428
# B3 (5직업)
B3 | 방문안내원 | id=1765284422903267
B3 | 방부처리반장 | id=1765285484514230
B3 | 방부처리원 | id=1765285485069231
B3 | 방사로조작원 | id=1765285211510220
B3 | 방사반장 | id=1765284906298755
# B4 (5직업)
B4 | 방사방적관리자 | id=1765283579836673
B4 | 방사선기술자 | id=176528394449575
B4 | 방사선량판독자 | id=1765283670013487
B4 | 방사선안전관리요원 | id=1765283958105554
B4 | 방사선안전관리자 | id=1765283958354741
# B5 (5직업)
B5 | 방사선연구원 | id=1765283634566643
B5 | 방사선투과검사기술자 | id=1765283951443111
B5 | 방사성폐기물운송사무원 | id=1765284306265170
B5 | 방사성폐기물인수검사원 | id=1765283986762148
B5 | 방사성폐기물자체관리자 | id=1765283958606837
