# B1 (5직업)
B1 | 방사성폐기물처리시설안전관리원 | id=1765283958918186
B1 | 방사성폐기물처리장품질관리원 | id=1765284287310971
B1 | 방사성폐기물처리처분연구원 | id=1765283987004506
B1 | 방사성폐기물처분관리원 | id=1765283959226701
B1 | 방사성폐기물처분시설안전성평가원 | id=1765283959512484
# B2 (5직업)
B2 | 방사성폐기물처분시설운영원 | id=1765285331039256
B2 | 방사성폐기물추적관리원 | id=176528395984178
B2 | 방사성폐기물핵종분석원 | id=1765283809425675
B2 | 방사원 | id=1765284906596617
B2 | 방송-가상스튜디오-엔지니어 | id=1765284162462898
# B3 (5직업)
B3 | 방송국견학안내원 | id=1765284423268715
B3 | 방송기기정비원 | id=1765284727549705
B3 | 방송기술감독 | id=1765284145428729
B3 | 방송기술강사 | id=17652840431521
B3 | 방송기술연구원 | id=1765283677801322
# B4 (5직업)
B4 | 방송기자재배정원 | id=1765284266092699
B4 | 방송대외협력기술자 | id=1765283678054421
B4 | 방송리포터 | id=1765284156363909
B4 | 방송망운영기사 | id=1765283678336983
B4 | 방송모니터요원 | id=176528442980024
# B5 (5직업)
B5 | 방송설비기술자 | id=1765283678592190
B5 | 방송송출기사 | id=1765283741586477
B5 | 방송심의위원 | id=1765283566327441
B5 | 방송안내원 | id=1765284423714772
B5 | 방송연출보조원 | id=1765284167511519
