# B1 (5직업)
B1 | 방송영상감독 | id=1765284145752198
B1 | 방송운행프로듀서 | id=1765284146128178
B1 | 방송인제스트원 | id=1765284162721404
B1 | 방송제작비관리원 | id=1765284345919651
B1 | 방송주조감독 | id=1765283741859473
# B2 (5직업)
B2 | 방송중계회선기사 | id=1765283742219182
B2 | 방송책임프로듀서 | id=1765284146713700
B2 | 방송카메라강사 | id=1765284043398278
B2 | 방송콘텐츠기획판매자 | id=1765284095466347
B2 | 방송통신기기제작원 | id=1765285381700736
# B3 (5직업)
B3 | 방송편집기사 | id=1765284162965351
B3 | 방수공 | id=1765283497645927
B3 | 방수반장 | id=1765284764748173
B3 | 방수보조원 | id=1765284765160203
B3 | 방재전문가 | id=1765284243408815
# B4 (5직업)
B4 | 방적사시험원 | id=1765283981206550
B4 | 방전가공기조작원 | id=1765285268453860
B4 | 방향제품제조원 | id=1765285054593752
B4 | 배경화가 | id=176528417678316
B4 | 배관설치원 | id=1765284813524450
# B5 (5직업)
B5 | 배소기조작원 | id=1765284847620699
B5 | 배소로조작원 | id=1765285144250919
B5 | 배소반장 | id=1765285144531567
B5 | 배송센터관리자 | id=1765283588827513
B5 | 배수장관리원 | id=1765285459981677
