# B1 (5직업)
B1 | 배수지관리원 | id=1765285460327490
B1 | 배양반장 | id=1765284847906428
B1 | 배재원 | id=1765285433932217
B1 | 배전계획원 | id=1765284287583389
B1 | 배전공사기술자 | id=1765283841657489
# B2 (5직업)
B2 | 배전기술연구원 | id=1765283842041251
B2 | 배전반조립원 | id=1765285381982668
B2 | 배전사령원 | id=1765283842498660
B2 | 배전선로순시원 | id=1765284722958735
B2 | 배전설비기술원 | id=1765285325581218
# B3 (5직업)
B3 | 배전설비보수기술원 | id=1765283842894914
B3 | 배전설비보수원 | id=1765284723237127
B3 | 배전설비운영원 | id=1765285326014424
B3 | 배전용변압기조립원 | id=1765285382271953
B3 | 배전운영계획관리자 | id=1765283576635830
# B4 (5직업)
B4 | 배전작업현장감독자 | id=1765284723578340
B4 | 배전장치제조현장감독자 | id=176528538267444
B4 | 배전장치조립원 | id=1765285383053163
B4 | 배전전공 | id=1765284723909689
B4 | 배지조제원 | id=1765284886752979
# B5 (5직업)
B5 | 배추절단원 | id=1765284583898906
B5 | 배추절임원 | id=1765284584229386
B5 | 배추탈염원 | id=1765284584609260
B5 | 배출가스저감장치개발자 | id=1765283912958265
B5 | 배출가스저감장치조립원 | id=1765285314371173
