# B1 (5직업)
B1 | 배취롤러조작원 | id=1765284833775292
B1 | 백화점매장관리원 | id=1765284243791955
B1 | 백화점상품판매원 | id=1765284510596861
B1 | 백화점영업관리원 | id=1765284244073111
B1 | 백화점운영부서관리자 | id=1765283587696677
# B2 (5직업)
B2 | 밴드기계조작원 | id=1765285082248948
B2 | 밴드절단기조작원 | id=1765285082580841
B2 | 밸브가공원 | id=1765285268810425
B2 | 밸브검사원 | id=1765285319273617
B2 | 밸브연삭원 | id=1765285269095878
# B3 (5직업)
B3 | 밸브조립원 | id=1765285319647282
B3 | 밸브주조원 | id=1765285130043123
B3 | 버블리스트 | id=1765284189632537
B3 | 버섯검사원 | id=1765284532402668
B3 | 버섯연구원 | id=1765283607197981
# B4 (5직업)
B4 | 버섯유통원 | id=1765284532680795
B4 | 버섯육종가 | id=1765283607580157
B4 | 버섯재배자 | id=1765284532952484
B4 | 버섯종균제조원 | id=1765284533250525
B4 | 버스배차원 | id=1765284306712373
# B5 (5직업)
B5 | 버스터미널배차원 | id=1765284307159204
B5 | 버스터미널시설유지보수원 | id=1765284719454984
B5 | 버스터미널운행관리원 | id=1765284307571546
B5 | 버스표검표원 | id=1765285608090436
B5 | 버스표매표사무원 | id=1765284348521692
