# B1 (5직업)
B1 | 버터교유기조작원 | id=1765284848265585
B1 | 버터제조반장 | id=1765284848575399
B1 | 버핑기조작원 | id=1765284986512928
B1 | 번역물품질관리사무원 | id=1765284133406554
B1 | 벌꿀제조원 | id=1765284887017857
# B2 (5직업)
B2 | 벌목원 | id=1765284554660189
B2 | 벌초원 | id=1765284554976898
B2 | 벌킹기운전원 | id=1765284906894820
B2 | 범죄문서감정관 | id=1765284115404874
B2 | 범죄심리분석관 | id=1765284443234382
# B3 (5직업)
B3 | 범죄영상분석가 | id=1765284443676729
B3 | 법경제연구원 | id=1765283647784264
B3 | 법무사무원 | id=1765284412803877
B3 | 법원장 | id=1765283557099380
B3 | 법의영상분석연구원 | id=1765283888947570
# B4 (5직업)
B4 | 법의학자 | id=176528399226739
B4 | 법인유가증권거래중개인 | id=1765284087997177
B4 | 법학연구원 | id=1765283648147100
B4 | 베이킹파우더혼합원 | id=1765284834107435
B4 | 베타테스터 | id=1765283314399705
# B5 (5직업)
B5 | 벤처자금대출원 | id=1765284370555871
B5 | 벨트성형원 | id=1765285082930779
B5 | 벨트여과기조작원 | id=1765285022127687
B5 | 벨트피복원 | id=1765285083275533
B5 | 벽돌판매원 | id=1765284511029959
