# B1 (5직업)
B1 | 벽지-디자이너 | id=1765284203770598
B1 | 벽지개발연구원 | id=176528398725835
B1 | 벽지검사원 | id=1765285508508726
B1 | 벽지견본책제조원 | id=1765285539589509
B1 | 벽지제조반장 | id=1765285508921556
# B2 (5직업)
B2 | 변성기조립원 | id=1765285383452900
B2 | 변속기조립원 | id=1765285296767430
B2 | 변압기설치원 | id=1765284719724818
B2 | 변전기술연구원 | id=1765283843319139
B2 | 변전설비운전원 | id=1765285326452127
# B3 (5직업)
B3 | 변전운영계획관리자 | id=1765283576919435
B3 | 변전정비기술원 | id=1765283843695290
B3 | 변호사사무원 | id=1765284413083891
B3 | 병검사원 | id=1765285565759270
B3 | 병리과전문의사 | id=1765283992505504
# B4 (5직업)
B4 | 병리학연구원 | id=1765283607957429
B4 | 병아리감별사 | id=1765284549577900
B4 | 병원배식원 | id=1765285610478678
B4 | 병원보조원 | id=1765284457339836
B4 | 병원보험사무원 | id=1765284357442184
# B5 (5직업)
B5 | 병원사무장 | id=1765284342092866
B5 | 병원수가원 | id=1765284346390785
B5 | 병원조리사 | id=1765284487692718
B5 | 병원중앙공급실관리자 | id=176528354403447
B5 | 병원청소원 | id=1765285600396426
