# B1 (5직업)
B1 | 병원행정사무원 | id=176528434241163
B1 | 보건관리자 | id=1765283944732550
B1 | 보건전문간호사 | id=1765284003139812
B1 | 보건정책연구원 | id=1765283648450280
B1 | 보건진료전담공무원 | id=1765283997932734
# B2 (5직업)
B2 | 보도블럭설치원 | id=1765284756634201
B2 | 보리엑기스추출원 | id=1765284868936317
B2 | 보링기조작원 | id=1765285269478882
B2 | 보망원 | id=1765284986903378
B2 | 보비너틀보기원 | id=1765284907167590
# B3 (5직업)
B3 | 보빈준비원 | id=1765284907465750
B3 | 보석검사원 | id=1765284803008735
B3 | 보석선별원 | id=1765284803423569
B3 | 보석연마원 | id=1765284803825195
B3 | 보석용해원 | id=1765284804206551
# B4 (5직업)
B4 | 보석절단원 | id=1765284804579383
B4 | 보석조립원 | id=176528480497498
B4 | 보석천공원 | id=1765284805363204
B4 | 보석판매원 | id=1765284511506617
B4 | 보세사 | id=176528423144539
# B5 (5직업)
B5 | 보습학원강사 | id=1765284040210169
B5 | 보안순찰원 | id=1765284453438670
B5 | 보안시스템기술자 | id=1765283678870544
B5 | 보안프로그램개발자 | id=1765283728707357
B5 | 보온공 | id=1765284766158685
