# B1 (5직업)
B1 | 보온단열재성형원 | id=1765285234797253
B1 | 보온병진공기조작원 | id=1765284818176439
B1 | 보온함석원 | id=176528518713826
B1 | 보육교사보조원 | id=1765284456664309
B1 | 보일러검사원 | id=1765284700416291
# B2 (5직업)
B2 | 보일러관체제작원 | id=1765285187533600
B2 | 보일러설치반장 | id=1765284700769113
B2 | 보일러설치보조원 | id=1765284701037786
B2 | 보일러설치원 | id=1765284701309994
B2 | 보일러수리원 | id=176528470162044
# B3 (5직업)
B3 | 보일러시험원 | id=1765284701883951
B3 | 보일러제작반장 | id=1765285185411128
B3 | 보일러조작원 | id=1765285282142624
B3 | 보조연기자 | id=1765284167752707
B3 | 보조출연자섭외원 | id=1765284167999388
# B4 (5직업)
B4 | 보증보험구상사무원 | id=1765284357810947
B4 | 보청기검사원 | id=1765285383779127
B4 | 보청기셀제작원 | id=1765284011650305
B4 | 보청기수리원 | id=1765284011899685
B4 | 보청기조립원 | id=1765285384136562
# B5 (5직업)
B5 | 보험계약심사원 | id=1765284358269317
B5 | 보험고객불만처리사무원 | id=1765284358714559
B5 | 보험금관리원 | id=1765284359034427
B5 | 보험금심사원 | id=1765284359321818
B5 | 보험금지급관리원 | id=1765284359695903
