# B1 (5직업)
B1 | 보험금지급원 | id=1765284359990369
B1 | 보험대리점소장 | id=1765283558818805
B1 | 보험동향분석원 | id=1765284084062828
B1 | 보험료수납원 | id=1765284356542545
B1 | 보험모집인 | id=1765283430793306
# B2 (5직업)
B2 | 보험보유계약관리원 | id=1765284360374622
B2 | 보험사감독원 | id=1765284416217478
B2 | 보험사무지원사무원 | id=1765284360702859
B2 | 보험시장분석원 | id=176528408439785
B2 | 보험신계약담당원 | id=1765284361024573
# B3 (5직업)
B3 | 보험영업기획원 | id=1765284361400480
B3 | 보험영업실적분석원 | id=1765284361663730
B3 | 보험영업지원사무원 | id=1765284361963571
B3 | 보험중개인 | id=1765284499398120
B3 | 보험통계담당원 | id=1765284417822963
# B4 (5직업)
B4 | 복권사무원 | id=176528437090537
B4 | 복무지도관 | id=1765284232500847
B4 | 복지관보조원 | id=1765284028853390
B4 | 복층유리봉합제충전원 | id=1765284818416550
B4 | 복층유리압착기조작원 | id=1765285211965277
# B5 (5직업)
B5 | 복합운송주선인 | id=1765284308013156
B5 | 본선컨테이너관리원 | id=1765284266501406
B5 | 본선하역반장 | id=1765285579702339
B5 | 볼링설비조작원 | id=1765284480579242
B5 | 볼압입원 | id=1765285269784578
