# B1 (5직업)
B1 | 볼트도금원 | id=1765285198557423
B1 | 볼트롤링기조작원 | id=1765285136960325
B1 | 볼트신선원 | id=1765285165213262
B1 | 볼트열처리원 | id=1765285165648551
B1 | 볼트헤드원 | id=1765285270154797
# B2 (5직업)
B2 | 봉수망어선원 | id=176528456346479
B2 | 봉절단원 | id=1765285270423583
B2 | 봉제반장 | id=1765284594238702
B2 | 봉제완구재봉사 | id=1765284594650500
B2 | 봉제완구제조원 | id=176528459501648
# B3 (5직업)
B3 | 봉제완구충전기조작원 | id=1765285566180156
B3 | 봉투제조원 | id=176528559165677
B3 | 봉합기조작원 | id=176528556681043
B3 | 부가가치통신망기획사무원 | id=1765284244433346
B3 | 부가가치통신망영업원 | id=1765284118131422
# B4 (5직업)
B4 | 부가서비스장비운용원 | id=1765283742520386
B4 | 부도관리사무원 | id=1765284371244369
B4 | 부동산-컨설턴트 | id=176528412286947
B4 | 부동산-펀드-매니저 | id=1765284079767499
B4 | 부동산개발자 | id=1765284095757347
# B5 (5직업)
B5 | 부동산경매인 | id=176528412238552
B5 | 부동산관리자 | id=1765283572015686
B5 | 부동산분양사무원 | id=1765284244696205
B5 | 부동산시설물관리원 | id=1765284342824410
B5 | 부동산신탁관리원 | id=1765284122622214
